KEY,EN,CN,,,,
LC_hero_207,,精灵王子,,,,
LC_hero_207_description,,<color=#ffa500ff>精灵</color>\n守护美丽之物是我的使命. ,,,,
LC_hero_007,,神奇女侠,,,,
LC_hero_007_description,,"<color=#ffa500ff>流浪者</color>\n我先上, 你断后. ",,,,
LC_hero_208,,竖琴精灵,,,,
LC_hero_208_description,,<color=#ffa500ff>精灵</color>\n我的音乐能抚平伤痕. ,,,,
LC_hero_112,,狂斧亚马逊,,,,
LC_hero_112_description,,"<color=#ffa500ff>矮人</color>\n人人都有自己的战斗, 最可耻的是缴械投降. ",,,,
LC_hero_006,,夫子,,,,
LC_hero_006_description,,<color=#ffa500ff>流浪者</color>\n我们必须战斗. . . 逃跑. ,,,,
LC_hero_102,,酒馆霸主,,,,
LC_hero_102_description,,<color=#ffa500ff>矮人</color>\n走直线. . . 你瞅啥?,,,,
LC_hero_005,,红寡妇,,,,
LC_hero_005_description,,"<color=#ffa500ff>流浪者</color>\n别怕呀, 你不是说过想深入了解我的吗?",,,,
LC_hero_107,,虎虎妹,,,,
LC_hero_107_description,,"<color=#ffa500ff>矮人</color>\n选择你的对手吧, 我还是这只老虎?",,,,
LC_hero_303,,小讨厌,,,,
LC_hero_303_description,,"<color=#ffa500ff>恶魔</color>\n滚开, 我还不饿. ",,,,
LC_hero_301,,黑暗领主,,,,
LC_hero_301_description,,<color=#ffa500ff>恶魔</color>\n你想要知道什么是黑暗?,,,,
LC_hero_302,,熔岩恶犬,,,,
LC_hero_302_description,,<color=#ffa500ff>恶魔</color>\n唔～我闻到了我的晚饭在靠近. ,,,,
LC_hero_306,,地狱毁灭者,,,,
LC_hero_306_description,,<color=#ffa500ff>恶魔</color>\n嗝儿. . . 我牙缝儿里卡了个人. ,,,,
LC_hero_305,,混沌学者,,,,
LC_hero_305_description,,"<color=#ffa500ff>恶魔</color>\n唔, 炸弹魔, 对牛奶过敏, 解决方案, 不明. ",,,,
LC_hero_307,,毛球炸弹,,,,
LC_hero_307_description,,<color=#ffa500ff>恶魔</color>\nBoom! Boom! Boom! ,,,,
LC_hero_403,,暗月龙使,,,,
LC_hero_403_description,,"<color=#ffa500ff>龙</color>\n小富由俭, 大富由天, 巨富全靠不给钱. ",,,,
LC_hero_405,,喵龙,,,,
LC_hero_405_description,,<color=#ffa500ff>龙</color>\n咕噜咕噜～不要动我背上的糖果. ,,,,
LC_hero_406,,红心龙,,,,
LC_hero_406_description,,<color=#ffa500ff>龙</color>\n我不喜欢脏乱. ,,,,
LC_hero_402,,贪吃龙,,,,
LC_hero_402_description,,<color=#ffa500ff>龙</color>\n吃饱了才有力气减肥. ,,,,
LC_hero_401,,龙堡守卫,,,,
LC_hero_401_description,,<color=#ffa500ff>龙</color>\n任何人不得擅闯此地. ,,,,
LC_hero_404,,碧玉龙,,,,
LC_hero_404_description,,"<color=#ffa500ff>龙</color>\n走开, 人类. 我只吃素. 或者你想听谜语?",,,,
LC_hero_304,,天才杀手,,,,
LC_hero_304_description,,<color=#ffa500ff>恶魔</color>\n那是哀嚎吗?,,,,
LC_hero_407,,年兽,,,,
LC_hero_407_description,,<color=#ffa500ff>龙</color>\n新年快乐！,,,,
LC_hero_501,,伊瑟拉,,,,
LC_hero_501_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_502,,路西法,,,,
LC_hero_502_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_503,,沙利叶,,,,
LC_hero_503_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_504,,沙利叶,,,,
LC_hero_504_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_505,,欧皇,,,,
LC_hero_505_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_506,,欧皇,,,,
LC_hero_506_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_507,,欧皇,,,,
LC_hero_507_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_508,,恶魔爪牙,,,,
LC_hero_508_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_509,,恶魔爪牙,,,,
LC_hero_509_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_510,,恶魔爪牙,,,,
LC_hero_510_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_511,,恶魔爪牙,,,,
LC_hero_511_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_512,,恶魔爪牙,,,,
LC_hero_512_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_513,,恶魔爪牙,,,,
LC_hero_513_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_514,,恶魔爪牙,,,,
LC_hero_514_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_515,,恶魔爪牙,,,,
LC_hero_515_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_516,,恶魔爪牙,,,,
LC_hero_516_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_517,,恶魔爪牙,,,,
LC_hero_517_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_518,,恶魔爪牙,,,,
LC_hero_518_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_519,,恶魔爪牙,,,,
LC_hero_519_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_520,,恶魔爪牙,,,,
LC_hero_520_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_521,,恶魔爪牙,,,,
LC_hero_521_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_522,,恶魔爪牙,,,,
LC_hero_522_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_523,,恶魔爪牙,,,,
LC_hero_523_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_524,,恶魔爪牙,,,,
LC_hero_524_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_525,,恶魔爪牙,,,,
LC_hero_525_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_526,,魔王之影,,,,
LC_hero_526_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_527,,魔王仆从,,,,
LC_hero_527_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_528,,魔王仆从,,,,
LC_hero_528_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_529,,魔王之影,,,,
LC_hero_529_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_530,,魔王仆从,,,,
LC_hero_530_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_531,,魔王仆从,,,,
LC_hero_531_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_532,,魔王之影,,,,
LC_hero_532_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_533,,魔王仆从,,,,
LC_hero_533_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_534,,魔王仆从,,,,
LC_hero_534_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_535,,魔王之影,,,,
LC_hero_535_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_536,,魔王仆从,,,,
LC_hero_536_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_537,,魔王仆从,,,,
LC_hero_537_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_538,,魔王之影,,,,
LC_hero_538_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_539,,魔王仆从,,,,
LC_hero_539_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_540,,魔王仆从,,,,
LC_hero_540_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_541,,魔王之影,,,,
LC_hero_541_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_542,,魔王仆从,,,,
LC_hero_542_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_543,,魔王仆从,,,,
LC_hero_543_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_544,,魔王之影,,,,
LC_hero_544_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_545,,魔王仆从,,,,
LC_hero_545_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_546,,魔王仆从,,,,
LC_hero_546_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_547,,魔王之影,,,,
LC_hero_547_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_548,,魔王仆从,,,,
LC_hero_548_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_549,,魔王仆从,,,,
LC_hero_549_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_550,,魔王之影,,,,
LC_hero_550_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_551,,魔王仆从,,,,
LC_hero_551_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_552,,魔王仆从,,,,
LC_hero_552_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_553,,魔王之影,,,,
LC_hero_553_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_554,,魔王仆从,,,,
LC_hero_554_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_555,,魔王仆从,,,,
LC_hero_555_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_556,,魔王之影,,,,
LC_hero_556_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_557,,魔王仆从,,,,
LC_hero_557_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_558,,魔王仆从,,,,
LC_hero_558_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_559,,魔王之影,,,,
LC_hero_559_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_560,,魔王仆从,,,,
LC_hero_560_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_561,,魔王仆从,,,,
LC_hero_561_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_562,,魔王之影,,,,
LC_hero_562_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_563,,魔王仆从,,,,
LC_hero_563_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_564,,魔王仆从,,,,
LC_hero_564_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_565,,魔王之影,,,,
LC_hero_565_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_566,,魔王仆从,,,,
LC_hero_566_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_567,,魔王仆从,,,,
LC_hero_567_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_568,,魔王之影,,,,
LC_hero_568_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_569,,魔王仆从,,,,
LC_hero_569_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_570,,魔王仆从,,,,
LC_hero_570_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_571,,魔王之影,,,,
LC_hero_571_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_572,,魔王仆从,,,,
LC_hero_572_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_573,,魔王仆从,,,,
LC_hero_573_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_574,,魔王之影,,,,
LC_hero_574_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_575,,魔王仆从,,,,
LC_hero_575_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_576,,魔王仆从,,,,
LC_hero_576_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_577,,魔王之影,,,,
LC_hero_577_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_578,,魔王仆从,,,,
LC_hero_578_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_579,,魔王仆从,,,,
LC_hero_579_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_580,,魔王之影,,,,
LC_hero_580_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_581,,魔王仆从,,,,
LC_hero_581_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_582,,魔王仆从,,,,
LC_hero_582_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_583,,魔王之影,,,,
LC_hero_583_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_584,,魔王仆从,,,,
LC_hero_584_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_585,,魔王仆从,,,,
LC_hero_585_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_586,,魔王之影,,,,
LC_hero_586_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_587,,魔王仆从,,,,
LC_hero_587_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_588,,魔王仆从,,,,
LC_hero_588_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_589,,魔王之影,,,,
LC_hero_589_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_590,,魔王仆从,,,,
LC_hero_590_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_591,,魔王仆从,,,,
LC_hero_591_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_592,,魔王之影,,,,
LC_hero_592_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_593,,魔王仆从,,,,
LC_hero_593_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_594,,魔王仆从,,,,
LC_hero_594_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_595,,魔王之影,,,,
LC_hero_595_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_596,,魔王仆从,,,,
LC_hero_596_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_597,,魔王仆从,,,,
LC_hero_597_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_598,,魔王之影,,,,
LC_hero_598_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_599,,魔王仆从,,,,
LC_hero_599_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_600,,魔王仆从,,,,
LC_hero_600_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_601,,魔王之影,,,,
LC_hero_601_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_602,,魔王仆从,,,,
LC_hero_602_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_603,,魔王仆从,,,,
LC_hero_603_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_604,,魔王之影,,,,
LC_hero_604_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_605,,魔王仆从,,,,
LC_hero_605_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_606,,魔王仆从,,,,
LC_hero_606_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_607,,魔王之影,,,,
LC_hero_607_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_608,,魔王仆从,,,,
LC_hero_608_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_609,,魔王仆从,,,,
LC_hero_609_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_610,,魔王之影,,,,
LC_hero_610_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_611,,魔王仆从,,,,
LC_hero_611_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_612,,魔王仆从,,,,
LC_hero_612_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_613,,魔王之影,,,,
LC_hero_613_description,,"<color=#ffa500ff>恶魔</color>\n魔王是黑暗世界的代言人, 当世界爆发了重大灾难或发生战争时, 又或者一些对邪恶力量抱有贪婪与迷信的人召唤了他时, 他的阴影就会降临. 世界总是纷争不断, 所以在被消灭后, 新的魔王之影很快就会再次降临.",,,,
LC_hero_614,,魔王仆从,,,,
LC_hero_614_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_615,,魔王仆从,,,,
LC_hero_615_description,,<color=#ffa500ff>恶魔</color>\n,,,,
LC_hero_616,,邪恶年兽,,,,
LC_hero_616_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_617,,邪恶年兽,,,,
LC_hero_617_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_618,,邪恶年兽,,,,
LC_hero_618_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_619,,邪恶年兽,,,,
LC_hero_619_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_620,,邪恶年兽,,,,
LC_hero_620_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_621,,邪恶年兽,,,,
LC_hero_621_description,,<color=#ffa500ff>龙</color>\n,,,,
