KEY,EN,CN
LC_chapter_task_69_desc,Upgrade Lumber Mill 1 to Lv. 5,建造2个要塞
LC_chapter_task_70_desc,Upgrade Steel Plant 1 to Lv. 5,参与5场攻城战(城市)
LC_chapter_task_71_desc,Upgrade Farm 1 to Lv. 5,将民房 1升级至5级
LC_chapter_task_72_desc,Upgrade Quarry 1 to Lv. 5,将指挥所升级至6级
LC_chapter_task_73_desc,Battle against other players 5 times,将部队集合点 1升级至6级
LC_chapter_task_74_desc,Upgrade Lumber Yard to Lv. 5,提升任意英雄等级到26级
LC_chapter_task_75_desc,Upgrade Food Storehouse to Lv. 5,建造战争工坊
LC_chapter_task_76_desc,Upgrade Steel Yard to Lv. 5,将伐木场 1升级至6级
LC_chapter_task_77_desc,Upgrade Marble Storehouse to Lv. 5,将炼钢厂 1升级至6级
LC_chapter_task_78_desc,Build 2 Strongholds,将农场 1升级至6级
LC_chapter_task_79_desc,Upgrade Workshop of War to Lv. 5,将采石场 1升级至6级
LC_chapter_task_80_desc,Take part in 5 siege battles(city),将旅行者驿站升级至6级
LC_chapter_task_81_desc,Upgrade Living Quarters 1 to Lv. 5,将坚盾雕像升级至6级
LC_chapter_task_82_desc,Upgrade the Townhall to Lv.  6,与玩家进行5次战斗
LC_chapter_task_83_desc,Build an Ancient Battlefield,将木材仓库升级至6级
LC_chapter_task_84_desc,Upgrade Army Camp 1 to Lv.  6,将食物仓库升级至6级
LC_chapter_task_85_desc,Upgrade any Hero to lv. 26,将钢材仓库升级至6级
LC_chapter_task_86_desc,Upgrade Lumber Mill 1 to Lv. 6,将石材仓库升级至6级
LC_chapter_task_87_desc,Upgrade Steel Plant 1 to Lv. 6,建造3个要塞
LC_chapter_task_88_desc,Upgrade Farm 1 to Lv. 6,参与5场攻城战(城市)
LC_chapter_task_89_desc,Upgrade Quarry 1 to Lv. 6,将民房 2升级至6级
LC_chapter_task_90_desc,Upgrade the Windwell to Lv.  6,将指挥所升级至7级
LC_chapter_task_91_desc,Upgrade the Workshop of War to Lv.  6,建造石锤雕像
LC_chapter_task_92_desc,Battle against other players 5 times,将部队集合点 1升级至7级
LC_chapter_task_93_desc,Upgrade Lumber Yard to Lv. 6,提升任意英雄等级到31级
LC_chapter_task_94_desc,Upgrade Food Storehouse to Lv. 6,将伐木场 2升级至7级
LC_chapter_task_95_desc,Upgrade Steel Yard to Lv. 6,将炼钢厂 2升级至7级
LC_chapter_task_96_desc,Upgrade Marble Storehouse to Lv. 6,将农场 2升级至7级
LC_chapter_task_97_desc,Build 3 Strongholds,将采石场 2升级至7级
LC_chapter_task_98_desc,Take part in 5 siege battles(city),将旅行者驿站升级至7级
LC_chapter_task_99_desc,Upgrade Living Quarters 2 to Lv. 6,将战争工坊升级至7级
LC_chapter_task_100_desc,Upgrade the Townhall to Lv.  7,将圣剑雕像升级至7级
LC_chapter_task_101_desc,Upgrade Army Camp 1 to Lv.  7,与玩家进行5次战斗
LC_chapter_task_102_desc,Upgrade any Hero to lv. 31,将木材仓库升级至7级
LC_chapter_task_103_desc,Upgrade Lumber Mill 2 to Lv. 7,将食物仓库升级至7级
LC_chapter_task_104_desc,Upgrade Steel Plant 2 to Lv. 7,将钢材仓库升级至7级
LC_chapter_task_105_desc,Upgrade Farm 2 to Lv. 7,将石材仓库升级至7级
LC_chapter_task_106_desc,Upgrade Quarry 2 to Lv. 7,建造5个要塞
LC_chapter_task_107_desc,Upgrade the Windwell to Lv.  7,参与10场攻城战(城市)
LC_chapter_task_108_desc,Upgrade the Workshop of War to Lv.  7,将民房 3升级至7级
LC_chapter_task_109_desc,Upgrade the Tavern to Lv.  7,将指挥所升级至8级
LC_chapter_task_110_desc,Battle against other players 5 times,建造英雄大厅-布
LC_chapter_task_111_desc,Upgrade Lumber Yard to Lv. 7,将部队集合点 1升级至8级
LC_chapter_task_112_desc,Upgrade Food Storehouse to Lv. 7,提升任意英雄等级到36级
LC_chapter_task_113_desc,Upgrade Steel Yard to Lv. 7,将伐木场 3升级至8级
LC_chapter_task_114_desc,Upgrade Marble Storehouse to Lv. 7,将炼钢厂 3升级至8级
LC_chapter_task_115_desc,Build 5 Strongholds,将农场 3升级至8级
LC_chapter_task_116_desc,Take part in 10 siege battles(city),将采石场 3升级至8级
LC_chapter_task_117_desc,Upgrade Living Quarters 3 to Lv. 7,建造英雄大厅-剪刀
LC_chapter_task_118_desc,Upgrade the Townhall to Lv.  8,将旅行者驿站升级至8级
LC_chapter_task_119_desc,Upgrade Army Camp 1 to Lv.  8,将战争工坊升级至8级
LC_chapter_task_120_desc,Upgrade any Hero to lv. 36,建造英雄大厅-石头
LC_chapter_task_121_desc,Upgrade Lumber Mill 3 to Lv. 8,将坚盾雕像升级至8级
LC_chapter_task_122_desc,Upgrade Steel Plant 3 to Lv. 8,与玩家进行5次战斗
LC_chapter_task_123_desc,Upgrade Farm 3 to Lv. 8,将石锤雕像升级至8级
LC_chapter_task_124_desc,Upgrade Quarry 3 to Lv. 8,将木材仓库升级至8级
LC_chapter_task_125_desc,Upgrade the Windwell to Lv.  8,将食物仓库升级至8级
LC_chapter_task_126_desc,Upgrade the Workshop of War to Lv.  8,将钢材仓库升级至8级
LC_chapter_task_127_desc,Upgrade the Stone Hall to Lv.  8,将石材仓库升级至8级
LC_chapter_task_128_desc,Battle against other players 5 times,建造7个要塞
LC_chapter_task_129_desc,Upgrade Lumber Yard to Lv. 8,参与10场攻城战(城市)
LC_chapter_task_130_desc,Upgrade Food Storehouse to Lv. 8,将民房 1升级至8级
LC_chapter_task_131_desc,Upgrade Steel Yard to Lv. 8,将指挥所升级至9级
LC_chapter_task_132_desc,Upgrade Marble Storehouse to Lv. 8,将部队集合点 1升级至9级
LC_chapter_task_133_desc,Build 7 Strongholds,提升任意英雄等级到41级
LC_chapter_task_134_desc,Take part in 10 siege battles(city),将伐木场 1升级至9级
LC_chapter_task_135_desc,Upgrade Living Quarters 1 to Lv. 8,将炼钢厂 1升级至9级
LC_chapter_task_136_desc,Upgrade the Townhall to Lv.  9,将农场 1升级至9级
LC_chapter_task_137_desc,Upgrade Army Camp 1 to Lv.  9,将采石场 1升级至9级
LC_chapter_task_138_desc,Upgrade any Hero to lv. 41,将旅行者驿站升级至9级
LC_chapter_task_139_desc,Upgrade Lumber Mill 3 to Lv. 9,将战争工坊升级至9级
LC_chapter_task_140_desc,Upgrade Steel Plant 1 to Lv. 9,将圣剑雕像升级至9级
LC_chapter_task_141_desc,Upgrade Farm 1 to Lv. 9,将坚盾雕像升级至9级
LC_chapter_task_142_desc,Upgrade Quarry 1 to Lv. 9,将石锤雕像升级至9级
LC_chapter_task_143_desc,Upgrade the Windwell to Lv.  9,将英雄大厅-布升级至9级
LC_chapter_task_144_desc,Upgrade the Workshop of War to Lv.  9,与玩家进行5次战斗
LC_chapter_task_145_desc,Upgrade the Ancient Battlefield to Lv.  9,将木材仓库升级至9级
LC_chapter_task_146_desc,Battle against other players 5 times,将食物仓库升级至9级
LC_chapter_task_147_desc,Upgrade Lumber Yard to Lv. 9,将钢材仓库升级至9级
LC_chapter_task_148_desc,Upgrade Food Storehouse to Lv. 9,将石材仓库升级至9级
LC_chapter_task_149_desc,Upgrade Steel Yard to Lv. 9,建造9个要塞
LC_chapter_task_150_desc,Upgrade Marble Storehouse to Lv. 9,参与10场攻城战(城市)
LC_chapter_task_151_desc,Build 9 Strongholds,将民房 4升级至9级
LC_chapter_task_152_desc,Take part in 10 siege battles(city),将指挥所升级至10级
LC_chapter_task_153_desc,Upgrade Living Quarters 4 to Lv. 9,将部队集合点 1升级至10级
LC_chapter_task_154_desc,Upgrade the Townhall to Lv.  10,提升任意英雄等级到46级
LC_chapter_task_155_desc,Upgrade Army Camp 1 to Lv.  10,将伐木场 2升级至10级
LC_chapter_task_156_desc,Upgrade any Hero to lv. 46,将炼钢厂 2升级至10级
LC_chapter_task_157_desc,Upgrade Lumber Mill 2 to Lv. 10,将农场 2升级至10级
LC_chapter_task_158_desc,Upgrade Steel Plant 2 to Lv. 10,将采石场 2升级至10级
LC_chapter_task_159_desc,Upgrade Farm 2 to Lv. 10,将旅行者驿站升级至10级
LC_chapter_task_160_desc,Upgrade Quarry 2 to Lv. 10,将战争工坊升级至10级
LC_chapter_task_161_desc,Upgrade the Windwell to Lv.  10,将英雄大厅-剪刀升级至10级
LC_chapter_task_162_desc,Upgrade the Workshop of War to Lv.  10,将圣剑雕像升级至10级
LC_chapter_task_163_desc,Upgrade the Tavern to Lv.  10,将坚盾雕像升级至10级
LC_chapter_task_164_desc,Battle against other players 5 times,将石锤雕像升级至10级
LC_chapter_task_165_desc,Upgrade Lumber Yard to Lv. 10,与玩家进行5次战斗
LC_chapter_task_166_desc,Upgrade Food Storehouse to Lv. 10,将木材仓库升级至10级
LC_chapter_task_167_desc,Upgrade Steel Yard to Lv. 10,将食物仓库升级至10级
LC_chapter_task_168_desc,Upgrade Marble Storehouse to Lv. 10,将钢材仓库升级至10级
LC_chapter_task_169_desc,Build 11 Strongholds,将石材仓库升级至10级
LC_chapter_task_170_desc,Take part in 10 siege battles(city),建造11个要塞
LC_chapter_task_171_desc,Upgrade Living Quarters 2 to Lv. 10,参与10场攻城战(城市)
LC_chapter_task_172_desc,Upgrade the Townhall to Lv.  11,将民房 2升级至10级
LC_chapter_task_173_desc,Upgrade Army Camp 1 to Lv.  11,将指挥所升级至11级
LC_chapter_task_174_desc,Upgrade any Hero to lv. 51,将部队集合点 1升级至11级
LC_chapter_task_175_desc,Upgrade Lumber Mill 3 to Lv. 11,提升任意英雄等级到51级
LC_chapter_task_176_desc,Upgrade Steel Plant 3 to Lv. 11,将伐木场 3升级至11级
LC_chapter_task_177_desc,Upgrade Farm 3 to Lv. 11,将炼钢厂 3升级至11级
LC_chapter_task_178_desc,Upgrade Quarry 3 to Lv. 11,将农场 3升级至11级
LC_chapter_task_179_desc,Upgrade the Windwell to Lv.  11,将采石场 3升级至11级
LC_chapter_task_180_desc,Upgrade the Workshop of War to Lv.  11,将旅行者驿站升级至11级
LC_chapter_task_181_desc,Upgrade the Stone Hall to Lv.  11,将战争工坊升级至11级
LC_chapter_task_182_desc,Battle against other players 5 times,将圣剑雕像升级至11级
LC_chapter_task_183_desc,Upgrade Lumber Yard to Lv. 11,将坚盾雕像升级至11级
LC_chapter_task_184_desc,Upgrade Food Storehouse to Lv. 11,将石锤雕像升级至11级
LC_chapter_task_185_desc,Upgrade Steel Yard to Lv. 11,将英雄大厅-石头升级至11级
LC_chapter_task_186_desc,Upgrade Marble Storehouse to Lv. 11,与玩家进行5次战斗
LC_chapter_task_187_desc,Build 13 Strongholds,将木材仓库升级至11级
LC_chapter_task_188_desc,Take part in 10 siege battles(city),将食物仓库升级至11级
LC_chapter_task_189_desc,Upgrade Living Quarters 2 to Lv. 11,将钢材仓库升级至11级
LC_chapter_task_190_desc,Upgrade the Townhall to Lv.  12,将石材仓库升级至11级
LC_chapter_task_191_desc,Upgrade Army Camp 1 to Lv.  12,建造13个要塞
LC_chapter_task_192_desc,Upgrade any Hero to lv. 56,参与10场攻城战(城市)
LC_chapter_task_193_desc,Upgrade Lumber Mill 1 to Lv. 12,将民房 2升级至11级
LC_chapter_task_194_desc,Upgrade Steel Plant 1 to Lv. 12,将指挥所升级至12级
LC_chapter_task_195_desc,Upgrade Farm 1 to Lv. 12,将部队集合点 1升级至12级
LC_chapter_task_196_desc,Upgrade Quarry 1 to Lv. 12,提升任意英雄等级到56级
LC_chapter_task_197_desc,Upgrade the Windwell to Lv.  12,将伐木场 1升级至12级
LC_chapter_task_198_desc,Upgrade the Workshop of War to Lv.  12,将炼钢厂 1升级至12级
LC_chapter_task_199_desc,Upgrade the Ancient Battlefield to Lv.  12,将农场 1升级至12级
LC_chapter_task_200_desc,Battle against other players 5 times,将采石场 1升级至12级
LC_chapter_task_201_desc,Upgrade Lumber Yard to Lv. 12,将旅行者驿站升级至12级
LC_chapter_task_202_desc,Upgrade Food Storehouse to Lv. 12,将战争工坊升级至12级
LC_chapter_task_203_desc,Upgrade Steel Yard to Lv. 12,将圣剑雕像升级至12级
LC_chapter_task_204_desc,Upgrade Marble Storehouse to Lv. 12,将坚盾雕像升级至12级
LC_chapter_task_205_desc,Build 15 Strongholds,将石锤雕像升级至12级
LC_chapter_task_206_desc,Take part in 10 siege battles(city),将英雄大厅-布升级至12级
LC_chapter_task_207_desc,Upgrade Living Quarters 2 to Lv. 12,与玩家进行5次战斗
LC_chapter_task_208_desc,,将木材仓库升级至12级
LC_chapter_task_209_desc,,将食物仓库升级至12级
LC_chapter_task_210_desc,,将钢材仓库升级至12级
LC_chapter_task_211_desc,,将石材仓库升级至12级
LC_chapter_task_212_desc,,建造15个要塞
LC_chapter_task_213_desc,,参与10场攻城战(城市)
LC_chapter_task_214_desc,,将民房 2升级至12级
LC_task_daily_1_desc,Occupy 2 more lv. 2 tiles ,新占领2块2级土地
LC_task_daily_2_desc,Occupy 1 more lv. 3 tile ,新占领1块3级土地
LC_task_daily_3_desc,Occupy 2 more lv. 3 tiles,新占领2块3级土地
LC_task_daily_4_desc,Occupy 3 more lv. 3 tiles,新占领3块3级土地
LC_task_daily_5_desc,Occupy 5 more lv. 3 tiles,获得3场战斗胜利
LC_task_daily_6_desc,Occupy 8 more lv. 3 tiles,获得5场战斗胜利
LC_task_daily_7_desc,Reach 3 battle victories,获得8场战斗胜利
LC_task_daily_8_desc,Reach 8 battle victories,治疗2次任意英雄
LC_task_daily_9_desc,Reach 10 battle victories,治疗3次任意英雄
LC_task_daily_10_desc,Heal 4 times for the heroes,累计治疗4800点生命值
LC_task_daily_11_desc,Heal 6 times for the heroes,升级任意英雄5次
LC_task_daily_12_desc,Cumulatively heal 4800 points of HP,升级任意英雄6次
LC_task_daily_13_desc,Level any Hero 5 times up,升级任意英雄8次
LC_task_daily_14_desc,Level any Hero 6 times up,升级任意1个建筑
LC_task_daily_15_desc,Level any Hero 8 times up,升级任意3个建筑
LC_task_daily_16_desc,Upgrade any 3 buildings,升级任意4个建筑
LC_task_daily_17_desc,Upgrade any 4 buildings,木材产量增加400
LC_task_daily_18_desc,Upgrade any 5 buildings,木材产量增加800
LC_task_daily_19_desc,Increase lumber output by 400,木材产量增加1200
LC_task_daily_20_desc,Increase lumber output by 800,"提升实力,累计实力值100"
LC_task_daily_21_desc,Increase lumber output by 1200,"提升实力,累计实力值120"
LC_task_daily_22_desc,Cumulatively increase 200 power points,"提升实力,累计实力值140"
LC_task_daily_23_desc,Cumulatively increase 240 power points,累计获得贡品1次
LC_task_daily_24_desc,Cumulatively increase 280 power points,累计获得贡品2次
LC_task_daily_25_desc,Collect Tribute once,累计获得贡品4次
LC_task_daily_26_desc,Collect Tribute twice,累计获得400个金币
LC_task_daily_27_desc,Collect Tribute 3 times,累计获得800个金币
LC_task_daily_28_desc,Cumulatively acquire 500 Gold,累计获得1400个金币
LC_task_daily_29_desc,Cumulatively acquire 800 Gold,"放弃1个1级地块,用于占领更多更高级土地"
LC_task_daily_30_desc,Cumulatively acquire 1000 Gold,"放弃2个1级地块,用于占领更多更高级土地"
LC_task_daily_31_desc,Give 3 pieces of Lv. 1 tile up for Occupying higher level tiles,"放弃4个1级地块,用于占领更多更高级土地"
LC_task_daily_32_desc,Give 4 pieces of Lv. 1 tile up for Occupying higher level tiles,新占领2块3级土地
LC_task_daily_33_desc,Give 5 pieces of Lv. 1 tile up for Occupying higher level tiles,新占领1块4级土地
LC_task_daily_34_desc,Occupy 2 more lv. 3 tiles,新占领2块4级土地
LC_task_daily_35_desc,Occupy 1 more lv. 4 tile ,新占领3块4级土地
LC_task_daily_36_desc,Occupy 2 more lv. 4 tiles,获得3场战斗胜利
LC_task_daily_37_desc,Occupy 3 more lv. 4 tiles,获得5场战斗胜利
LC_task_daily_38_desc,Occupy 5 more lv. 4 tiles,获得8场战斗胜利
LC_task_daily_39_desc,Occupy 8 more lv. 4 tiles,治疗4次任意英雄
LC_task_daily_40_desc,Reach 4 battle victories,治疗5次任意英雄
LC_task_daily_41_desc,Reach 10 battle victories,累计治疗14400点生命值
LC_task_daily_42_desc,Reach 15 battle victories,升级任意英雄5次
LC_task_daily_43_desc,Heal 8 times for the heroes,升级任意英雄6次
LC_task_daily_44_desc,Heal 10 times for the heroes,升级任意英雄8次
LC_task_daily_45_desc,Cumulatively heal 14400 points of HP,与玩家进行1次战斗
LC_task_daily_46_desc,Level any Hero 5 times up,与玩家进行2次战斗
LC_task_daily_47_desc,Level any Hero 6 times up,与玩家进行3次战斗
LC_task_daily_48_desc,Level any Hero 8 times up,升级任意1个建筑
LC_task_daily_49_desc,Battle against other players once,升级任意3个建筑
LC_task_daily_50_desc,Battle against other players twice,升级任意4个建筑
LC_task_daily_51_desc,Battle against other players 3 times,钢材产量增加400
LC_task_daily_52_desc,Upgrade any 3 buildings,钢材产量增加800
LC_task_daily_53_desc,Upgrade any 4 buildings,钢材产量增加1200
LC_task_daily_54_desc,Upgrade any 5 buildings,"提升实力,累计实力值140"
LC_task_daily_55_desc,Increase steel output by 400,"提升实力,累计实力值170"
LC_task_daily_56_desc,Increase steel output by 800,"提升实力,累计实力值190"
LC_task_daily_57_desc,Increase steel output by 1200,累计获得贡品1次
LC_task_daily_58_desc,Cumulatively increase 275 power points,累计获得贡品2次
LC_task_daily_59_desc,Cumulatively increase 330 power points,累计获得贡品4次
LC_task_daily_60_desc,Cumulatively increase 385 power points,累计获得500个金币
LC_task_daily_61_desc,Collect Tribute 3 times,累计获得1000个金币
LC_task_daily_62_desc,Collect Tribute 4 times,累计获得1700个金币
LC_task_daily_63_desc,Collect Tribute 5 times,"放弃1个1级地块,用于占领更多更高级土地"
LC_task_daily_64_desc,Cumulatively acquire 5250 Gold,"放弃2个1级地块,用于占领更多更高级土地"
LC_task_daily_65_desc,Cumulatively acquire 6300 Gold,"放弃4个1级地块,用于占领更多更高级土地"
LC_task_daily_66_desc,Cumulatively acquire 7875 Gold,参与1场攻城战(城市)
LC_task_daily_67_desc,Give 3 pieces of Lv. 1 tile up for Occupying higher level tiles,参与2场攻城战(城市)
LC_task_daily_68_desc,Give 4 pieces of Lv. 1 tile up for Occupying higher level tiles,参与3场攻城战(城市)
LC_task_daily_69_desc,Give 5 pieces of Lv. 1 tile up for Occupying higher level tiles,新占领2块4级土地
LC_task_daily_70_desc,Take part in a siege battle(city),新占领1块5级土地
LC_task_daily_71_desc,Take part in 2 siege battles(city),新占领2块5级土地
LC_task_daily_72_desc,Take part in 3 siege battles(city),新占领3块5级土地
LC_task_daily_73_desc,Occupy 2 more lv. 4 tiles,获得3场战斗胜利
LC_task_daily_74_desc,Occupy 1 more lv. 5 tile ,获得5场战斗胜利
LC_task_daily_75_desc,Occupy 2 more lv. 5 tiles ,获得8场战斗胜利
