KEY,EN,CN
LC_map_10_zone_5,Thousands of ancient counties,千古郡
LC_map_10_zone_6,Peanut county,花生郡
LC_map_10_zone_7,Cattle county,黄牛郡
LC_map_10_zone_8,Lotus root county,藕丝郡
LC_map_11_zone_1,The heart of the county,本心郡
LC_map_11_zone_2,Crown County,皇冠郡
LC_map_11_zone_3,Takayama Prefecture,高山郡
LC_map_11_zone_4,General County,将军郡
LC_map_11_zone_5,Dusk County,黄昏郡
LC_npc_city_outside,{0} Outer City,{0} 外城
LC_din_buldihr,Barrowlands,先民荒冢
LC_mudrun,Bay of Ice,寒冰湾
LC_autumnborn,Bay of Seals,海豹湾
LC_morrhia,Bear Island,熊岛
LC_blindfort,Bloody Gate,血门
LC_nughdun,Castle Black,黑城堡
LC_oldtide,Eastwatch-by-the-Sea,东海望
LC_farbell,Greywater Watch,灰水望
LC_heghgrim,Karhold,卡霍城
LC_basinbay,Cailin Bay,卡林湾
LC_nanyar,Riverrun,奔流城
LC_angelshell,Harbour City,海疆城
LC_sunpost,Three Sisters,三姐妹群岛
LC_norwohr,Torrhen's Square,托伦方城
LC_bayvale,Trident,三叉戟河
LC_lostpeak,Pate of the Blue Fork,蓝叉河
LC_milgrun,Pate of the Green Fork,绿叉河
LC_drycross,Pate of the Red Fork,红叉河
LC_blackville,Vale of Arryn,艾林谷
LC_kulrigh,White Knife,白刃河
LC_rosemore,Widow's Watch,寡妇望
LC_lostshire,Wolf Forest,狼林
LC_marnlodar,The Arbor,青亭岛
LC_edgebell,The Bite,咬人湾
LC_ironwind,The Broken Arm,断臂角
LC_naghria,The Dreadfort,恐怖堡
LC_deermire,The Frozen Shore,冰封海岸
LC_limepass,The Haunted Forest,鬼影森林
LC_weststall,The Last River,末江
LC_dholbor,The Shadow Tower,影子塔
LC_shadowtown,The Neck,颈泽
LC_fayglen_centey,Twins City,孪河城
LC_fayglen,Eagle Nest City,鹰巢城
LC_merrihm,Five Fingers Peninsula,五指半岛
LC_dolerum,Golden Avenue,黄金大道
LC_lightvale,King's Avenue,国王大道
LC_duskward,Rose Boulevard,玫瑰大道
LC_voghbihr,Coastal Road,滨海大道
LC_heartborough,Crab Bay,螃蟹湾
LC_honeylight,Blackwater River,黑水河
LC_hungrim,Stormfury,风怒角
LC_pearlrock,Kay City,凯岩城
LC_rustspire,Donne Borderland,多恩边疆地
LC_negoldur,Dragon Rock Island,龙石岛
LC_nevergarde,God Eye Lake,神眼湖
LC_oakenyard,Golden Tooth City,金牙城
LC_bom_ulihm,Seagull Town,海鸥镇
LC_silentshear,Helenburg Fort,赫伦堡
LC_moonfield,High Court,高庭
LC_bilkolduhr,Sovereign's Landing,君临
LC_bearvalley,Imperial forest,御林
LC_falsefront,Port of Lannis,兰尼斯港
LC_barnrogh,Mande River,曼德河
LC_hazelstorm,Old Town,旧镇
LC_saltcross,Parker City,派克城
LC_kughgan,Rainforest,雨林
LC_millstone,Donne Sea,多恩海
LC_northwich,Shipwreck Bay,破船湾
LC_nem_todir,Starfall City,星坠城
LC_orkney,Storm's End Fort,风息堡
LC_virnuhm,Sunspear City,阳戟城
LC_leefside,Tas Island,塔斯岛
LC_nearon,Rising Rock River,腾石河
LC_deghuluhr,Antlers River,鹿角河
LC_trudid,Caster,卡斯特
LC_vaggari,Deep Lake Residence,深湖居
LC_iyesgarth,Ancestor's Peak,先民拳峰
LC_delwihr,Brandon,布兰登
LC_furness,Green Guard,绿卫堡
LC_hillfar,Gray Guard,灰卫堡
LC_gillodihr,Formidable Fort,艰难堡
LC_forstford,Frost Mountain,霜雪山
LC_aberdeen,Ice Tick City,冰痕城
LC_dal_todir,Forever Land,永冬之地
LC_wallowdale,Milk River,乳河
LC_pendle,Oak Shield,橡木盾
LC_himedur,Tiara Town,后冠镇
LC_panshaw,King's Door,王后门
LC_airedale,Ice Crystal Door,冰晶门
LC_dhigthiod,Black Stable hall,黑貂厅
LC_merton,Sentinel House,哨兵楼
LC_lerwick,Scarpus Island,斯卡格斯岛
LC_thorpes,Stone Door Village,石门寨
LC_nemduhr,Stoke's Corner,斯托德之角
LC_rochdale,Thorne,瑟恩
LC_calcheth_centey,West Bridge Watch,西桥望
LC_calcheth,White Tree village,白树村
LC_kirn_todur,Waterfront Village,水滨寨
LC_hil_furum,Frosty Teeth,霜雪之牙
LC_strathmore,New Land,新赠地
LC_kald,Grand Canyon,大峡谷
LC_isyrenthas,Long Cart Tower,长车楼
LC_narfolk,Long Night Fort,长夜堡
LC_shepshed,Quivering Sea,颤抖海
LC_inanatalos,Windwhistle Gorge,风声峡
LC_blaenau,Beacon Towers,烽火台
LC_dalmellington,Great Wall of Desperation,绝境长城
LC_kamtoduhr,Asta Wave,阿斯塔波
LC_ironhaven,Axe Island,斧头岛
LC_northbury,Snake Lizard Island,蛇蜥群岛
LC_herrim,Snake Lizard Corner,蛇蜥角
LC_chester,Elijah,埃利亚
LC_livohka,Jean Island,吉恩岛
LC_dhigboram,Giscar,吉斯卡
LC_veritas,Giscar Strait,吉斯卡海峡
LC_yarrin,Cedar Island,雪松岛
LC_eyvahone,Teary Island,眼泪岛
LC_erostey,Toad Island,蟾蜍岛
LC_appleby,Martaris,玛塔里斯
LC_wasera,Resplendent Forest,弥林
LC_alnwick,Nass Island,纳斯岛
LC_coombe,New Guise,新吉斯
LC_oldham,Old Guise,老吉斯
LC_lelletalos,Orose,奥罗斯
LC_arcton,Scarjadan River,斯卡札丹河
LC_yserius,Slave Bay,奴隶湾
LC_bradfordshire,Dellos,脱罗斯
LC_middlesborough,Teria,特利亚
LC_ulenlian,Varella,瓦雷利亚
LC_ulenfian,,瓦利安
LC_caister,Worm River,蠕虫河
LC_taewe,Yi Forest,夷林
LC_martslock,The Nightfort,渊凯
LC_filmelon,Shadow Gate Tower,夷门塔
LC_lanercost,The Black Cliffs,黑色大峭壁
LC_dragontail,Shelling Bay,苏湾
LC_haathnore,Eternal Summerland,长夏之地
LC_dangarnon,The Sighing Sea,叹息之海
LC_barnsley,Smoking Sea,烟海
LC_olla_thalor,Summer's Day Sea,夏日之海
LC_galssop,Anders,安达斯
LC_wakefield,Basilisk Point,阿诺颐
LC_shanserine,Bloodstone Island,血石岛
LC_gloucester,Braffos,布拉佛斯
LC_woodpine,Braffos Shore,布拉佛斯海岸
LC_caleneas,Chroyane,查约恩
LC_gilramore,Dagger Lake,匕首湖
LC_garmsby,Undercurrent River,暗流河
LC_loukussa,Kahall Forest,科霍尔森林
LC_saanadell,Mantarys,葛多荷
LC_woolhope,Havener Island,灰绞架岛
LC_old_ashton,Normos Mount,诺佛斯丘陵
LC_lylmelon,Laru River,拉鲁鲁江
LC_shaan_serine,Little Lorn River,小洛恩河
LC_tillydrone,Orlaris Bay,罗拉斯湾
LC_aermagh,Orlaris ,罗拉斯
LC_theasera,Liss,里斯
LC_pitmerder,Myer Dead,弥撒
LC_pitmerden,Myer,密尔
LC_moonbright,Tolos,诺佛斯
LC_thylmnaes,Nayen River,娜恩河
LC_calmarnock,Nassa,娜萨星
LC_umthaes,Fantors,潘托斯
LC_stratham,Ginnen River,琴恩河
LC_axminster,Kahall,科霍尔
LC_yenbel,Lorn River,洛恩河
LC_sharpton,Sameyar,萨梅尔
LC_bullmar,Myer Sea,密海
LC_omasari,Syhill River,赛荷鲁江
LC_peterborough,Syhill,赛荷鲁
LC_omalon,Stepstone Island,石阶列岛
LC_dundee,Tas Strait,塔斯海峡
LC_paendley,Talos,泰洛西
LC_chaepstow,Upper Lorn River,上洛恩河
LC_ashana_alari,Valisar,瓦利萨
LC_rym_ennore,Velvet Hills,天鹅绒丘陵
LC_farnfoss,Valanis River,瓦兰娜河
LC_fynnoris,Valanis,瓦兰提斯
LC_dumbarton,Velonus Town,维隆瑟斯镇
LC_penrith,Disputed Lands,争议之地
LC_aenthalas,The Flatlands,平地
LC_ballinamallard,The Golden Wilderness,黄金原野
LC_yaena_themar,The Orange Shore,橙色海岸
LC_larcbost,Land of Despair,伤心领
LC_aysmelle,Sea Dragon Cape,海龙角
LC_tarnstead,The Great Rock Shore,磐石海岸
LC_lyloshys,Blazing Bay,明焰湾
LC_coningsby,Sea Monster Cape,海怪角
LC_caerdydd,Eagle Cape,雄鹰角
LC_lylfrius,Iron Bay,铁民湾
LC_romsey,Fairy Island,仙女岛
LC_larton,Whisper Bay,低语湾
LC_svalona,Redwin Strait,雷德温海峡
LC_lybster,Acorn Hall,橡果厅
LC_kuoppa,Antler Fort,鹿角堡
LC_heenbelle,Brand City,烙印城
LC_orilon,Tenshu Beach,岑树滩
LC_afalkadi,Brandenburg Fort,班达伦堡
LC_favorsham,Calamity Fort,祸垒
LC_kincardine,Bridge of Suffering,苦桥
LC_ranelin,Black Crown City,黑冠城
LC_burrafirth,Black Port,黑港
LC_aeston,Blackmonte City,布莱蒙城
LC_uhelian,The City of Imagination,梦想城
LC_azmar,Flower City,花花城
LC_osymrius,Gourd City,葫芦之城
LC_horndean,Wild Crane City,野鹤城
LC_mighgan,City of Bears,熊之城
LC_penshaw,City of Cats,猫之城
LC_vanam,Furnace City,炉石城
LC_arkala,City of Monsters,魔鬼之城
LC_anyserion,Tempters' Fort,撩人堡
LC_swindon,Volaena,暴力街区
LC_crullfeld,Wenya Fort,瘟疫堡
LC_elllethaes,Cedar City,亚楠城
LC_azmarin,Victoria City,维多利亚城
LC_travercraig,Summit City,巅峰之城
LC_lyletaesi,Rejuvenation City,复兴城
LC_holmfirth,City of Cthulu,克苏鲁之城
LC_athelney,Rumm City,罗姆之城
LC_delturum,City of the Ancient Gods,古神之城
LC_lakeshore,Cosmos Fort,宇宙女之堡
LC_tillicoultry,Bloodheal Fort,血疗堡
LC_ginoldur,Dreamland Seduction Fort,梦境诱惑堡
LC_hepojoki,Dreamland Fort,梦境堡
LC_perlshaw,Seduction Fort,诱惑堡
LC_dhamwohr,Hunter's Fort,猎人堡
LC_arkkukari,Great Spirit Institute,大神学院
LC_garthram,Healing Church,治愈教会
LC_irfe_nalore,Hymn Assembly,圣歌团
LC_kaldaruhm,Craftsman Tower,工匠塔
LC_dhilbuldar,Fort Lawrence,劳伦斯堡
LC_marulihr,Fort Greerman,杰尔曼堡
LC_anguith,Fort Mantis,曼西斯堡
LC_dholbadur,City of Queen Sumaya,苏美鲁女王城
LC_dharnbadir,Moongod City,月神城
LC_dentorum,Ancient Spirit City,古神城
LC_balulihr,Acorn City,亚丹城
LC_isha_entheas,Amidala City,亚米达拉城
LC_emoserine,Crowhunter City,乌鸦猎人城
LC_resahona,Armellion City,阿美利亚城
LC_felicity,Blood Clan City,血族城
LC_isyallond,Banefort City,呦西城
LC_silethrius,Celestial Church,神圣教堂
LC_ilhnoris,Fury Church,怒气教堂
LC_abandale,Exploding Church,爆裂教堂
LC_foolshope,Jones Town,琼斯镇
LC_nefaria,West Road Town,西路镇
LC_ashcity,Harrenhal Town,哈压库镇
LC_dragons_torreon,Castle of Ancient Dragon,上古巨龙之堡
LC_pass_7_8_30_96,Bay Bridge,海湾大桥
LC_pass_0_0_36_300,Ethan Pass,伊森关
LC_pass_8_8_18_378,Harmony Bridge,和谐桥
LC_pass_0_0_35_800,Adventure Island,冒险关
LC_pass_8_6_37_787,Terror Bridge,恐怖桥
LC_pass_7_8_86_49,Evil bridge,邪恶桥
LC_pass_7_8_53_83,God Bridge,囧神桥
LC_pass_7_8_65_59,Demon bridge,恶魔桥
LC_pass_7_8_92_70,Celestial bridge,神仙桥
LC_pass_8_8_96_349,Small bridge,小娥桥
LC_pass_8_8_53_358,Kisser's Bridge,乌鱼桥
LC_pass_8_6_73_727,Fashionable bridge,时尚桥
LC_pass_8_6_51_761,God of the Harvest Bridge,食神桥
LC_pass_0_0_100_775,Vientiane Border,万象境
LC_pass_1_8_87_916,Godwing Bridge,翼神桥
LC_pass_7_8_124_67,Thinker's bridge,睿智桥
LC_pass_0_0_139_300,Crackle Pass,合意关
LC_pass_8_1_130_336,Little Bridge,点点桥
LC_pass_8_5_142_643,Kumamoto Bridge,熊本桥
LC_pass_8_5_103_695,Hamm Bridge,哈姆桥
LC_pass_8_5_120_670,Floral Bridge,花木桥
LC_pass_1_7_136_885,How Many Bridge,多少桥
LC_pass_7_8_159_66,The Bridge of Truth and Fallacy,真假桥
LC_pass_7_8_190_68,Virtual Bridge,虚实桥
LC_pass_8_1_157_319,Anyway Bridge,正反桥
LC_pass_8_1_188_316,The Bridge of Life and Death,生死桥
LC_pass_8_2_194_492,The Bridge of Joy and Sorrow,悲欢桥
LC_pass_8_4_187_521,Front and Rear Bridge,前后桥
LC_pass_8_4_161_564,Beginning and End Bridge,始末桥
LC_pass_8_4_175_582,Dusk 'til Dawn Bridge,早晚桥
LC_pass_8_4_191_553,Day and Night Bridge,昼夜桥
LC_pass_8_5_161_614,The Bridge of Right vs Wrong,曲直桥
LC_pass_0_0_200_648,Small Pass,笑傲关
LC_pass_0_0_154_700,Big Pass,大侠隘
LC_pass_1_7_176_866,Good vs Evil Bridge,善恶桥
LC_pass_0_0_201_35,Thrill Pass,惊险关
LC_pass_0_0_243_100,Resplendence Pass,华丽关
LC_pass_7_3_212_295,North South Bridge,南北桥
LC_pass_7_3_243_286,Sentimental Bridge,眷恋桥
LC_pass_0_0_201_348,Stimulation Pass,刺激关
LC_pass_0_0_201_552,Horror Pass,恐怖关
LC_pass_0_0_249_600,Big River Pass,大河关
LC_pass_1_2_213_829,Switch Bridge,开关桥
LC_pass_7_3_283_243,The Bridge of True Love,爱恋桥
LC_pass_7_3_286_215,Lovelorn Bridge,失恋桥
LC_pass_7_3_270_273,Clinger's Bridge,贪恋桥
LC_pass_0_0_255_400,Small Fish Pass,小鱼关
LC_pass_0_0_300_861,Noble Warrior Pass,大侠关
LC_pass_0_0_300_969,Big Road Pass,大路关
LC_pass_0_0_301_148,Running Water Pass,流水关
LC_pass_0_0_301_338,Fear Pass,惶恐关
LC_pass_0_0_301_457,Durian Pass,榴莲关
LC_pass_0_0_311_700,Solitude Pass,一夫当关
LC_pass_0_0_347_800,White Silk Pass,百思关
LC_pass_0_0_358_200,Three Brothers Pass,三哥关
LC_pass_6_5_392_189,The Bridge of Longing,思恋桥
LC_pass_7_5_390_245,The Bridge of Passionate Love,热恋桥
LC_pass_7_5_393_220,Nostalgia Bridge,怀恋桥
LC_pass_7_5_383_267,First Love Bridge,初恋桥
LC_pass_7_5_390_291,The Bridge of Fondness,顾恋桥
LC_pass_0_0_400_744,Academic's Pass,博士关
LC_pass_6_4_437_138,The Bridge of Flowing Love,流恋桥
LC_pass_6_4_403_172,Lover's Bridge 2,异域桥
LC_pass_6_4_424_159,The Bridge of Tragic Love,悲恋桥
LC_pass_0_0_401_250,Little Bear Pass,小熊关
LC_pass_10_7_428_294,The Bridge of Mutual Love,相恋桥
LC_pass_11_4_434_477,The Bridge of Graceful Love,婉恋桥
LC_pass_11_4_440_456,Love Memory Bridge,忆恋桥
LC_pass_11_1_425_505,Love Collector's bridge,积恋桥
LC_pass_11_1_433_534,Accordance Bridge,合意桥
LC_pass_11_1_429_554,Unsophisticated Bridge,简易桥
LC_pass_11_1_436_578,Gourd bridge,葫芦桥
LC_pass_9_5_445_612,Yuhua Bridge,雨花桥
LC_pass_2_2_441_819,Panda Bridge,熊猫桥
LC_pass_2_2_418_880,Western Beauty Bridge,西丽桥
LC_pass_2_2_435_851,Lakeman Bridge,湖人桥
LC_pass_2_8_424_916,The Bridge of Courage,勇气桥
LC_pass_6_7_464_94,Lost Bridge,失落桥
LC_pass_6_7_491_84,The Bridge of Youth,年少桥
LC_pass_6_4_453_119,Fox Bridge,狐狸桥
LC_pass_0_0_453_201,Cart God Pass,车神关
LC_pass_10_7_464_284,Public Security bridge,公安桥
LC_pass_10_7_489_275,Spirit Bridge,精神桥
LC_pass_10_7_497_295,Halo bridge,光环桥
LC_pass_10_6_497_317,Kappa Bridge,河童桥
LC_pass_10_6_499_342,Lotus Root bridge,藕片桥
LC_pass_10_6_486_392,Slave Bridge,奴隶桥
LC_pass_10_6_500_360,Coincidence Bridge,偶遇桥
LC_pass_11_4_455_429,West Gate Bridge,西门桥
LC_pass_11_4_472_410,East Gate Bridge,东门桥
LC_pass_0_0_452_600,Panda Pass,熊猫关
LC_pass_9_5_479_625,Coldwind Bridge,韩风桥
LC_pass_0_0_469_700,Mike Pass,麦克关
LC_pass_2_3_458_784,North River Bridge,北河桥
LC_pass_2_3_483_756,Water Jade Bridge,水玉桥
LC_pass_2_8_461_957,Flight Bridge,飞翔桥
LC_pass_2_8_493_983,Withered Bridge,凋落桥
LC_pass_6_8_523_75,Humble Bridge,微微桥
LC_pass_9_6_506_635,Unity Bridge,合一桥
LC_pass_9_6_530_684,Northwatch Bridge,望北桥
LC_pass_9_6_539_651,Westwatch Bridge,望西桥
LC_pass_9_7_518_717,Southwatch Bridge,望南桥
LC_pass_6_8_578_32,Eastwatch Bridge,望东桥
LC_pass_6_8_555_54,Bell Bridge,钟桥
LC_pass_0_0_555_301,Lucky Pass,幸运关
LC_pass_0_0_555_401,Survival Pass,求生关
LC_pass_0_0_552_800,Silver Hair Pass,白发关
LC_pass_0_0_600_751,Red Pass,红颜关
LC_pass_0_0_601_249,Creek Pass,小溪关
LC_pass_0_0_643_301,Snow Mountain Pass,雪山关
LC_pass_0_0_647_801,Deep Sea Pass,深海关
LC_pass_0_0_654_201,Glass Pass,琉璃关
LC_pass_0_0_700_530,Red River Pass,红河关
LC_pass_0_0_700_664,Seven Star Pass,七星关
LC_pass_0_0_700_848,Moon Pass,月亮关
LC_pass_0_0_701_34,Dark Pass,黑暗关
LC_pass_0_0_701_148,Yellow Immortal Pass,黄神关
LC_pass_0_0_748_401,Daylight Pass,白日关
LC_pass_0_0_741_601,Plea Pass,求情关
LC_pass_0_0_800_455,White Horse Pass,白马关
LC_pass_0_0_800_659,Terrace Pass,地平关
LC_pass_3_6_773_841,Warmspring Bridge,暖泉桥
LC_pass_3_6_786_817,Warmwind Bridge,暖风桥
LC_pass_0_0_759_901,Bloodline Pass,血缘关
LC_pass_0_0_800_962,Buddha Pass,仁王关
LC_pass_5_7_841_118,Warmheart Bridge,暖心桥
LC_pass_5_7_831_177,Warmwinter Bridge,暖冬桥
LC_pass_5_7_836_151,Western Peak Bridge,西峰桥
LC_pass_5_6_810_215,Vampire Bridge,吸血桥
LC_pass_5_6_829_205,Snug Pass,合身桥
LC_pass_0_0_844_301,Battle Pass,战争关
LC_pass_0_0_801_357,Littlegod Pass,小仙关
LC_pass_3_2_848_788,The Bridge of Sincere Love,恳恋桥
LC_pass_3_7_814_802,The Bridge of Love,情恋桥
LC_pass_5_7_892_24,The Bridge of Attentive Love,凝恋桥
LC_pass_5_7_855_94,The Bridge of Indulgent Love,耽恋桥
LC_pass_5_7_874_73,The Bridge of Joyful Love,欣恋桥
LC_pass_5_7_885_51,The Bridge of Affectionate Love,绻恋桥
LC_pass_4_2_884_529,Lover's Bridge,感恋桥
LC_pass_4_2_892_505,The Bridge of Unrequited Love,单恋桥
LC_pass_4_2_883_580,The Bridge of Distant Love,遐恋桥
LC_pass_4_2_885_557,The Bridge of Unrequited Love 2,嫪恋桥
LC_pass_4_1_856_647,Bridge of Peaceful Love,安恋桥
LC_pass_4_1_871_624,Lover's Bridge 3 ,慕恋桥
LC_pass_4_1_878_603,Black Dragon Bridge,墨龙桥
LC_pass_4_1_857_670,Magic Dragon Bridge,魔龙桥
LC_pass_4_1_860_690,Western Dragon Pass,西龙桥
LC_pass_0_0_857_701,Equipment Pass,装备关
LC_pass_3_2_863_732,Oolong Bridge,乌龙桥
LC_pass_3_2_869_708,Two Aunts Bridge,二婶桥
LC_pass_3_2_863_761,Bridge of Spiritual Power,力神桥
LC_pass_0_0_901_244,Long Pass,长久关
LC_pass_4_7_931_388,Rain God Bridge,雨神桥
LC_pass_4_7_947_364,Ghost Bridge,鬼莫桥
LC_pass_4_7_919_439,Supernatural bridge,鬼神桥
LC_pass_4_7_924_413,Western Ghost bridge,西鬼神桥
LC_pass_4_7_907_482,Magic Bridge,魔性桥
LC_pass_4_7_914_461,Magic Star Bridge,魔星桥
LC_pass_5_8_990_195,Charm bridge,魔力桥
LC_pass_0_0_965_201,Rupture Pass,破裂关
LC_pass_4_6_970_241,Mushroom Bridge,蘑菇桥
LC_pass_4_6_983_215,Magic Bridge,魔道桥
LC_pass_4_6_953_264,Hee Hee bridge,西域桥
LC_pass_4_6_958_287,Windrustle Bridge ,雅黑桥
LC_pass_4_7_951_338,Haha Bridge,心语桥
LC_pass_4_7_961_311,Red Maple Bridge,红枫桥
LC_pass_0_0_969_701,Sun Pass,太阳关
LC_battle_alliance_rewards,All members of the alliance could get,联盟全体成员可获得
LC_battle_alliance_rewards_output,Produce Bonus,产量加成
LC_rank_occupation,Siege,攻城排行
LC_map_desc_1,Mighty Highland,月之国居民低调神秘. 传说中这里曾经有大陆最强的法师和刺客公会. 
LC_map_desc_2,Vast Shield,风之国居民自由洒脱. 传说中风之国祖先可以驾驭风的力量! 但风之国偶尔会有沙尘暴. 
LC_map_desc_3,Storm Beach,"山之国传说中是狂战士的发源地. 那里的居民正直, 忠诚, 勇敢. "
LC_map_desc_4,Wandering Fields,云之国居民具有丰富的想象力. 这里是许多先进科技诞生的地方. 比如: 晴空制造仪. 
